"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",140000000,"","２ＬＤＫ","80",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
2,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",280000000,"","３ＬＤＫ","150",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第３四半期","未改装",""
3,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",86000000,"","２ＬＤＫ","80",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第２四半期","改装済",""
4,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","7",270000000,"","","105",,"ほぼ台形","10.2","195","平成11年","ＲＣ","住宅、駐車場","住宅","東","区道",4.7,"第２種中高層住居専用地域",60,300,"平成29年第１四半期","",""
5,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","１Ｒ","15",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成28年第４四半期","未改装",""
6,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",65000000,"","２ＬＤＫ","70",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第４四半期","未改装",""
7,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",13000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成28年第１四半期","未改装",""
8,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","7",630000000,"","","400",,"ほぼ台形","18.0","640","昭和57年","ＲＣ","共同住宅","住宅","東","区道",4.0,"第２種住居地域",60,400,"平成27年第３四半期","",""
9,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",62000000,"","１ＬＤＫ","80",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成27年第３四半期","未改装",""
10,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",17000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","その他","","",,"第２種中高層住居専用地域",60,300,"平成27年第３四半期","未改装",""
